x;qx
0;0
1;0,000571
2;0,000372
3;0,000278
4;0,000208
5;0,000188
6;0,000176
7;0,000165
8;0,000147
9;0,000140
10;0,000141
11;0,000143
12;0,000148
13;0,000155
14;0,000162
15;0,000170
16;0,000177
17;0,000184
18;0,000188
19;0,000190
20;0,000191
21;0,000192
22;0,000194
23;0,000197
24;0,000201
25;0,000207
26;0,000214
27;0,000223
28;0,000235
29;0,000248
30;0,000264
31;0,000307
32;0,000350
33;0,000394
34;0,000435
35;0,000475
36;0,000514
37;0,000554
38;0,000598
39;0,000648
40;0,000706
41;0,000774
42;0,000852
43;0,000937
44;0,001029
45;0,001124
46;0,001223
47;0,001326
48;0,001434
49;0,001550
50;0,001676
51;0,001852
52;0,002018
53;0,002207
54;0,002424
55;0,002717
56;0,003090
57;0,003478
58;0,003923
59;0,004441
60;0,005055
61;0,005814
62;0,006657
63;0,007648
64;0,008619
65;0,009706
66;0,010954
67;0,012163
68;0,013445
69;0,014860
70;0,016742
71;0,018579
72;0,020665
73;0,022970
74;0,025458
75;0,028106
76;0,030966
77;0,034105
78;0,037595
79;0,041506
80;0,045879
81;0,050780
82;0,056294
83;0,062506
84;0,069517
85;0,077446
86;0,086376
87;0,096337
88;0,107303
89;0,119154
90;0,131682
91;0,144604
92;0,157618
93;0,170433
94;0,182799
95;0,194509
96;0,205379
97;0,215240
98;0,223947
99;0,231387
100;0,237467
101;0,244834
102;0,254498
103;0,266044
104;0,279055
105;0,293116
106;0,307811
107;0,322725
108;0,337441
109;0,351544
110;0,364617
111;0,376246
112;0,386015
113;0,393507
114;0,398308
115;0,400000
116;0,400000
117;0,400000
118;0,400000
119;0,400000
120;1,000000
